Project: Project Number,,Actual Start Date,Actual Completion Date,Benefit: Benefit Name,Benefit Type,Annual Cost Savings,Electric Savings,District Steam Savings,Fuel Oil Savings,Natural Gas Savings,Propane Savings,Peak Demand Reduction,Project Type,Benefit Narrative
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Optimize Seqence,Energy Savings,11400,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Function performance testing,Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Sensor calibration,Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Automatic boiler isolation valves (2),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,2 way valves (13),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,HRU VFD (2),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Differential pressure sensor (2),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Damper Actuator/ control valve repair (14),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Guidance RTU-1 controller (1),Energy Savings,,,,,,,,Retrocommissioning,
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Tighten Schedules and Setbacks,Energy Savings,515,1270,,,,,,Retrocommissioning,"There are occupancy schedules implemented through the BAS to control when equipment starts and stops, and to establish occupied and unoccupied temperature setpoints. Most spaces are in occupied mode from 5:00 a.m. to 3:00 p.m. on weekdays, with occupied and unoccupied temperature setpoints of 68°F and 62°F respectively. However, there are some spaces with slightly longer schedules and/or no unoccupiedtemperature setback. While there may be good reasons for these exceptions, consider implementing consistent schedules and setpoints throughout all zones."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Optimize control of Bus Engine Block Heater,Energy Savings,2162,24570,,,,,,Retrocommissioning,"There are twenty-five (25) 1,500-watt electric block heaters for the school bus engines. It is possible the operation of these heaters can be optimized if they are currently being operated manually (e.g. plugged in at the end of the day and unplugged in the morning). By incorporating timers and/or thermostatic control, operating hours of the heaters could be reduced significantly. Incentives should be available from Efficiency Vermont for implementing this project."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Add monitoring and Control Capability for Exhaust Fans,Energy Savings,773,1910,,,,,,Retrocommissioning,"While most of the equipment in the building is visible and controlled through the building automation system, there are several exhaust fans that are not currently integrated into the system. The building operator expressed interest in adding status and command points for all exhaust fans, so that operation can be more easily monitored and scheduled. Additionally, the six exhaust fans that currently are being monitored and controlled have an operating schedule in the BAS of 4:00 a.m. ? 11:00 p.m. Consider tightening this schedule to reflect the hours when the building is occupied."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Ensure Tight Cosure of Unit Ventilators Outside Air Dampers,Energy Savings,540,,,,,,,Retrocommissioning,"Many of the unit ventilators have outside air dampers that do not close tightly, resulting in uncontrolled infiltration of outdoor air when the damper is commanded closed. Consider incorporating adjustment of outside air dampers as part of routine maintenance activities."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Raise Unit Ventilator Supply Air Tempeature Setpoints,Energy Savings,56,640,,,,,,Retrocommissioning,"The supply air temperature setpoint for the unit ventilators is currently 70°F, while the unoccupied space temperature setpoint is 62°F. This may result in excessive fan run times during unoccupied periods due to the small temperature difference between the supply and room air. Consider raising the setpoint to 90°F."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Replace Dishwasher Electric Booster Heater with Propane Heater,Energy Savings,807,660,,,,,,Retrocommissioning,"The dishwasher in the kitchen has a 3 kW electric resistance booster heater to elevate the temperature of the hot water. Replacing this with a propane heater could result in a peak demand reduction, as well as cost savings from switching to a cheaper fuel."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Investigate Options for Demand Limitng,Energy Savings,2496,,,,,,,Retrocommissioning,"The school is on an electric tariff with relatively high demand charges that also includes a ratchet, meaning that the peak demand set during any particular month will determine the billed demand for the next eleven months. We recommend raising awareness among facility staff regarding this issue and implementing policies to avoid setting new peak demand levels (e.g. by operating electric kilns only during off-peak periods after 4:00pm). Since there is visibility into electric demand on the meter through the BAS, it is even possible to set alarms when the building demand rises above a certain threshold to alert the building operator."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Install Variable Speed Drive to Control Hot Water Pumos,Energy Savings,1184,13460,,,,,,Retrocommissioning,"The existing hot water pumps operate at a constant speed regardless of the actual heating demand in the building. By slowing down the pumps to match the flow to the demand using a variable frequency drive, significant energy savings can be achieved. Efficiency Vermont programs assist with the cost of energy efficient equipment."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Continue Upgrading Unit Ventilators,Energy Savings,,,,,,,,Retrocommissioning,"Many of the unit ventilators are original equipment from when the building was initially constructed in 1967. These are being replaced gradually as capital funds become available. Ensure that the most efficient units are selected at the time of replacement, which include electronically commutated (ECM) motors. Efficiency Vermont programs assist with the cost of energy efficient equipment."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Continue Lighting Upgrades,Energy Savings,,,,,,,,Retrocommissioning,"Lighting in a few classrooms has already been upgraded to LED. We recommend continuing with LED lighting upgrades as funds become available, and for classrooms in perimeter areas, consider incorporating daylight dimming controls. Efficiency Vermont may assist with the cost of these replacements."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Calibrate CO2 Sensors to ensure proper ventilation,Energy Savings,,,,,,,,Retrocommissioning,"Ventilation in most areas of the building is controlled to maintain a maximum carbon dioxide concentration of 1,500 ppm. Since CO2 sensors are prone to drifting out of calibration, we recommend implementing a program to periodically calibrate the CO2 sensors on an annual basis to ensure that proper ventilation is"
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Adjust Schedules in BAS to Reflect Actual Occupancy Patterns,Energy Savings,1139,4903,,,,,,Retrocommissioning,"Building occupancy schedule in BAS is weekdays from 4 a.m. ? 3 p.m. The earliest teachers get to the building is around 6:00 a.m. and students arrive at 7:20 a.m. There is an occupancy schedule set for Wednesdays 3 -8 p.m. due to gym being used during this time, but schedule is being applied to entire building, not just gym AHU. Reccomend adjusting schedules in BAS to reflect actual occupancy patterns."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Return Hot Water Pump P-1 to Automatic Control,Energy Savings,130,903,,,,,,Retrocommissioning,"Pump P-1 in boiler room was running with no control available through BAS, presumably due to a bad relay. Recommend repairing  or replace relay for hot water pump P-1 in boiler room and ensure automatic control through BAS is achieved."
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,Ensure Adequate Ventilation is being Provided,Energy Savings,,,,,,,,Retrocommissioning,Inadequate ventilation in server room.
1275,CESU School Buildings RCx,11/18/2016,8/30/2019,"Relocate Outside Aire Sensor, other rcx Maintenance Recommendations",Energy Savings,,,,,,,,Retrocommissioning,"The outside air temperature sensor used in building automation control sequences is located on the northeast corner of the building. During morning hours, it is in the sun and reading higher than the actual temperature. This can affect operation of equipment with control sequences that reference the OAT point, including economizer control in unit ventilators, boiler enable control, and hot water supply temperature reset. Recommend relocating outside air temperature sensor to ensure it is shaded at all times so that the true temperature is being read by the building automation system. This also may help with some of the comfort issues in the building, since economizer operation may have been locked out mistakenly."
1289,Burlington Roman Catholic Diocese RCx,3/1/2017,7/31/2017,AHU-5 Simultaneous Heating and Cooling,Energy Savings,18440,32344,,,,,,Retrocommissioning,"AHU-5 was initially observed to be in cooling mode, while the steam preheat coil 1/3 valve was also open and preheating the supply air. It was determined that the steam valve was leaking by, even when commanded to 100% closed. Savings can be attributed to two different issues for this measure: 1. The preheat coil 1/3 valve opening during mechanical cooling mode 2. The steam valve leaking by when commanded to the full closed positionThere are heating plant and cooling plant savings that will be realized for this measure. Issue 1, preheat coil valve opening during mechanical cooling, will be remedied with the straight to implementation phase work currently being done. Issue 2, steam valve leak-by, can be resolved as part of the next implementation phase work by following the action below. Action: Adjust valve and actuator to close completely when commanded. If leak-by remains, repair or replace control valve so that there is no steam leak-by when valve is commanded to close."
1290,Burlington 2030 District Director,4/1/2017,1/31/2020,AHU Outside Air Balance,Energy Savings,1028,344,,,,,,Efficiency Consulting,"All of the hospital?s AHUs currently rely on outside air damper positions as a means of controlling outdoor air flow. Damper position is never reflective of the actual outside air CFM, and when used in this manner typically results in over ventilating and, in some cases, under ventilating the spaces served. A contemporary approach is to use a device to measure the outside air flow and control the damper to achieve an airflow that meets the requirements of ASHRAE 170-2013 or the exhaust air CFM requirements of the spaces they currently serve, whichever is greater.Action:. A TAB contractor should do an existing exhaust airflow study to verify the exhaust airflows in the AHU-5 area; Verify required minimum OA of AHU-5 based on results of exhaust air TAB study; A pressure study of all areas with pressure differential requirements should be conducted and make final AHU airflow adjustments as needed to maintain pressure requirements."
1291,Leland and Gray Union Middle & High School RCx,3/20/2017,7/14/2017,Terminal Reheats,Energy Savings,,,,,,,,Retrocommissioning,"During the qualification phase BAS review, it was believed that some terminal reheat coils associated with AHU-3 and AHU-6 were heating supply air when not enabled by the BAS. After testing it was determined that this was not an issue. A sample of reheats associated with AHU-6 and AHU-3 were tested by recording air temperature upstream and downstream of the reheat coil using a calibrated test instrument. All reheats tested did not exhibit any signs of unintended heating. No action is required as part of this measure, however, the reheat coil serving Echo Room 123 was found to not be reheating air while the reheat coil valve was 100% open. This issue could be due the reheat coil being manually isolated. The coil should be examined to determine the cause of the issue."
1292,Southwestern Vermont Medical Center Chiller RCx,4/10/2018,11/30/2019,Unthrottle Balancing Valves on Pump Discharge,Energy Savings,2981,24845,,,,,,Retrocommissioning,"?	Condenser water pump P-5 has throttled triple duty valve"
1292,Southwestern Vermont Medical Center Chiller RCx,4/10/2018,11/30/2019,Operate Cooling Tower Cells in Parallel,Energy Savings,2400,20000,,,,,,Retrocommissioning,"?	Currently each cooling tower cell is dedicated to a chiller, so that if only one chiller is operating, only one cell and cooling tower fan are operating. It is more efficient to operate both cells in parallel due to the increased surface area for heat rejection and the energy savings achieved at lower fan speeds"
1292,Southwestern Vermont Medical Center Chiller RCx,4/10/2018,11/30/2019,Optimize Chilled Water Plant Control Sequences,Energy Savings,9000,75000,,,,,,Retrocommissioning,"Pump P-5 serving condenser water loop for CH-1 was observed to be operating in HAND, while CH-1 was not operating at the time  Recommend Optimize control sequences for chilled water plant operation, including: Chilled water supply temperature control, Secondary chilled water pump speed control, Condenser water supply temperature control, Condenser water pump control, Cooling tower control"
1292,Southwestern Vermont Medical Center Chiller RCx,4/10/2018,11/30/2019,Release BAS Overrides and Return Equipment to AUTO Control,Energy Savings,2691,22426,,,,,,Retrocommissioning,"Pumps P-1, P-3, and P-4 speeds were overridden to 100% through the BAS (although P-1 and P-3 were off at the time)"
